Record ID,Company name,Phone Number,Company owner,Lead Status,Clay score,Country,Associated Note,Current Software ,Current Software Contract End Date,Core service,Industry_,Accounting software (US),Accounting Software (UK and ANZ),Accounting Software UK,Client Use Case,Associated Note IDs
21804220178,FireFox-Torino Integrated,,Scott MacRitchie,Customer,20,United States,,Simpro,,Service & Maintenance,Fire,QB online,,,,
19180183073,Colorado Fire Services,,Scott MacRitchie,Customer,20,United States,,Service Trade,,Service & Maintenance,Fire,QB online,Quickbooks Online ,,,
18780031122,Commercial Fire Protection,9252348282,Scott MacRitchie,Live deal,20,United States,gonna talk to him today,None (N/A),,Service & Maintenance,Fire,Sage Intact,Sage Intact ,,,76426590823
30644420505,B-Lann Equipment,518-421-4969,Sophie Parker,Customer,10,United States,"Gave a ring today and was at doctors appt - call Monday AM;big thing for him is sending out techs and theyd come back with a list of 6 yrs and hydros, put together a quote and call customer, now they see what they have upcoming --he is gonna make me a video today - says foundation doesn't have version control - going to send me a video today - scheduling is huge and other facets of estimate, doing a job- technicians do a quote for a customer and do it right - have concentric rings around their main location that changes pricing so 10 minutes away is 20$ more, etc. - kithcen inspections, everybodies is different and usually have 1 tank but some have more than that and charge based on number of tanks they have (use a parent child relationship so hood is parent and child is number of tanks) knows if goign to uptick.",,,Service & Maintenance,Fire,Foundation,,,,76888781473;74957354156
37315276942,DJA Safety,,Paxton Rice,Customer,0,United States,,,,Service & Maintenance,Fire,,,,,
35494125844,USA Fire Co,,Daniela Richter,Customer,0,United States,,,,,Fire,,,,,
34992033567,LIT Fire Protection,,Alex Yung,Customer,0,United States,"Disco ran, Josh was trying to buy right then and there In-depth demo on Wednesday",,,Service & Maintenance,Fire,,,,,81397528178
34903798544,Rainbolt Tech,,Tommy Haake,Live deal,0,United States,,,,50/50 ,Fire & Security,,,,,
34372735553,Blu Fin Marine,,Jack Young,Live deal,0,United States,,,,Service & Maintenance,Fire,,,,,
32392524647,Landmark Fire Protection,,Chandler Sanders,Live deal,0,United States,,Inspect Point,,,Fire,QB online,,,,
